"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
496634,"December 26, 2013",Louisiana,Slidell,"2144 First St",2,6,N/A
493842,"November 9, 2013",Texas,Cypress,"7300 block of Enchanted Creek Drive",2,16,N/A
493035,"November 7, 2013",Michigan,Detroit,"Conley and 7 Mile",3,7,N/A
492570,"October 27, 2013",California,Vallejo,"200 block of Princeton Avenue",1,6,N/A
481043,"October 13, 2013",Pennsylvania,Harrisburg,"1524 Walnut St",0,8,N/A
480765,"October 5, 2013",California,Fresno,"3883 E. Calwa #114",1,12,N/A
480521,"September 19, 2013",Illinois,Chicago,"1809 W 50th St",0,13,N/A
480366,"September 16, 2013","District of Columbia","Washington Navy Yard","1336 Isaac Hull Ave",13,3,N/A
491698,"August 7, 2013",Texas,Dallas,"7100 block of Long Canyon Trail",4,4,N/A
490226,"June 30, 2013","New York",Brooklyn,"616 E. 52nd Street",0,9,N/A
489105,"June 23, 2013",Missouri,"Kansas City","1917 Prospect Ave",1,8,N/A
486209,"May 12, 2013",Louisiana,"New Orleans","1400 block of Frenchmen St",0,19,N/A
482771,"March 11, 2013","District of Columbia",Washington,"1200 North Capitol St NW",0,13,N/A
480443,"February 24, 2013",Georgia,Macon,"2800 block of Mercer University Drive",0,8,N/A
1119336,"December 14, 2012",Connecticut,"Sandy Hook","12 Dickenson Dr",28,2,N/A
